<|https://www.jgengineering.ie/collections/metric-baercoil-kits?currency=EUR-lllmstxt|>
## Metric BaerCoil® Kits – JG Engineering Supplies Ltd      01-4730900
[Skip to content](https://www.jgengineering.ie/collections/metric-baercoil-kits?currency=EUR#main-content)

**Welcome to our new website**

**New collections added!** [Learn more](https://www.jgengineering.ie/collections/metric-baercoil-kits?currency=EUR# "#")

Country/Region

Andorra (EUR €)

[JG Engineering Supplies Ltd 01-4730900](https://www.jgengineering.ie/)

SearchProduct type

All

[Basket](https://www.jgengineering.ie/cart)

Menu

- [Home](https://www.jgengineering.ie/)
- [BaerCoil Thread Repair](https://www.jgengineering.ie/collections/baercoil-thread-repair-helicoil-kit-inserts)
- [Circlips](http://www.jgengineering.ie/collections/circlips-ireland)
- [About Us](https://www.jgengineering.ie/pages/about-us)
- [Blog](https://www.jgengineering.ie/blogs/news)
- [Contact US](http://www.jgengineering.ie/pages/contact-us)
- [Shipping](https://www.jgengineering.ie/pages/shipping)

## Always better with a Discount

Copy the code and save 10%

FIXIT10Copy code

Copied

1. [Home](https://www.jgengineering.ie/)
2. [Metric BaerCoil® Kits](https://www.jgengineering.ie/collections/metric-baercoil-kits)

# Metric BaerCoil® Kits

(0 products)


# [Buy Now](http://www.jgengineering.ie/products/m2-x-0-4-baercoil-kit-helicoil "Buy Now")

**[BaerCoil Thread Repair Kit M 2 x 0,4](http://www.jgengineering.ie/products/m2-x-0-4-baercoil-kit-helicoil)**

**[BaerCoil Thread Repair Kit M 2,2 x 0,45](http://www.jgengineering.ie/products/m2-2-x-0-45-baercoil-kit-helicoil)**

**[BaerCoil Thread Repair Kit M 2,5 x 0,45](http://www.jgengineering.ie/products/m2-5-x-0-45-baercoil-kit-helicoil)**

[**BaerCoil Thread Repair Kit M 3 x 0,5**](http://www.jgengineering.ie/products/m3-x-0-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 3,5 x 0,6**](http://www.jgengineering.ie/products/m3-5-x-0-6-baercoil-kits-helicoil)

[**BaerCoil Thread Repair Kit M 4 x 0,7**](http://www.jgengineering.ie/products/m4-x-0-7-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 5 x 0,8**](http://www.jgengineering.ie/products/m5x08baercoilkitb4009)

[**BaerCoil Thread Repair Kit M 6 x 0,75**](http://www.jgengineering.ie/products/m6-x-0-75-baercoil-kit-helicoil)

[****BaerCoil Thread Repair Kit M 6 x 1,0****](http://www.jgengineering.ie/products/m6-x-1-0-baercoil-kit)

[**BaerCoil Thread Repair Kit M 7 x 1,0**](http://www.jgengineering.ie/products/m7-x-1-0-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 8 x 0,75**](http://www.jgengineering.ie/products/m8-x-0-75-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 8 x 1,0**](http://www.jgengineering.ie/products/m8-x-1-0-baercoil-kit-helicoil)

**[**BaerCoil Thread Repair Kit M 8 x 1,25**](http://www.jgengineering.ie/products/m8-x-1-25-baercoil-kit-helicoil)**

**[**BaerCoil Thread Repair Kit M 9 x 1,0**](http://www.jgengineering.ie/products/m9-x-1-0-baercoil-kit-helicoil)**

[**BaerCoil Thread Repair Kit M 9 x 1,25**](http://www.jgengineering.ie/products/m9-x-1-5-baercoil-kit-helicoil)

**[**BaerCoil Thread Repair Kit M 10 x 1,0**](http://www.jgengineering.ie/products/m10-x-1-0-baercoil-kit-helicoil)**

[**BaerCoil Thread Repair Kit M 10 x 1,25**](http://www.jgengineering.ie/products/m10-x-1-25-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 10 x 1,5**](http://www.jgengineering.ie/products/m10-x-1-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 11 x 1,0**](http://www.jgengineering.ie/products/m11-x-1-0-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 11 x 1,25**](http://www.jgengineering.ie/products/m11-x-1-25-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 11 x 1,5**](http://www.jgengineering.ie/products/m11-x-1-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 12 x 1,0**](http://www.jgengineering.ie/products/m12-x-1-0-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 12 x 1,25**](http://www.jgengineering.ie/products/m12-x-1-25-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 12 x 1,5**](http://www.jgengineering.ie/products/m12-x-1-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 12 x 1,75**](http://www.jgengineering.ie/products/m12-x-1-75-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 13 x 1,25**](http://www.jgengineering.ie/products/m13-x-1-25-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 13 x 1,5**](http://www.jgengineering.ie/products/m13-x-1-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 14 x 1,0**](http://www.jgengineering.ie/products/m14-x-1-0-baercoil-kit-helicoil)

**[**BaerCoil Thread Repair Kit M 14 x 1,25**](http://www.jgengineering.ie/products/m14-x-1-25-baercoil-kit-helicoil)**

[**BaerCoil Thread Repair Kit M 14 x 1,5**](http://www.jgengineering.ie/products/m14-x-1-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 14 x 2,0**](http://www.jgengineering.ie/products/m14-x-2-0-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 15 x 1,5**](http://www.jgengineering.ie/products/m15-x-1-5-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 15 x 2,0**](http://www.jgengineering.ie/products/m15-x-2-0-baercoil-kit-helicoil)

[**BaerCoil Thread Repair Kit M 16 x 1,5**](http://www.jgengineering.ie/products/m16-x-1-5-baercoil-kit-helicoil-helicoil)

